product_id,brand,category_l1,purchases,total_revenue,cum_revenue,cum_revenue_pct,product_rank,product_pct
1005115,apple,electronics,505.0,480968.22,480968.22,6.48,1,0.02
1005105,apple,electronics,201.0,275361.66,756329.8799999999,10.2,2,0.03
1005135,apple,electronics,121.0,203939.28,960269.1599999999,12.95,3,0.05
1004249,apple,electronics,259.0,195031.07,1155300.23,15.58,4,0.06
1004767,samsung,electronics,647.0,160350.19,1315650.42,17.74,5,0.08
1002544,apple,electronics,337.0,158799.89,1474450.31,19.88,6,0.09
1004856,samsung,electronics,871.0,112641.41,1587091.72,21.4,7,0.11
1004870,samsung,electronics,349.0,99557.74,1686649.46,22.74,8,0.12
1002524,apple,electronics,182.0,98026.19,1784675.65,24.06,9,0.14
1005116,apple,electronics,96.0,97828.68,1882504.3299999998,25.38,10,0.15
1003317,apple,electronics,95.0,90121.8,1972626.13,26.6,11,0.17
1004258,apple,electronics,103.0,77503.43,2050129.5599999998,27.64,12,0.19
4804056,apple,electronics,442.0,72017.28,2122146.84,28.61,13,0.2
1004873,samsung,electronics,194.0,71505.98,2193652.82,29.58,14,0.22
1003306,apple,electronics,116.0,67821.66,2261474.48,30.49,15,0.23
1004833,samsung,electronics,360.0,61814.85,2323289.33,31.32,16,0.25
1005106,apple,electronics,42.0,61808.55,2385097.88,32.16,17,0.26
1004659,samsung,electronics,82.0,60190.05,2445287.9299999997,32.97,18,0.28
1004246,apple,electronics,71.0,54188.57,2499476.4999999995,33.7,19,0.29
1004250,apple,electronics,65.0,53349.96,2552826.4599999995,34.42,20,0.31
1005104,apple,electronics,54.0,53267.41,2606093.8699999996,35.14,21,0.33
1005144,apple,electronics,31.0,51688.2,2657782.07,35.83,22,0.34
1004836,samsung,electronics,221.0,50888.08,2708670.15,36.52,23,0.36
1004237,apple,electronics,46.0,50527.43,2759197.58,37.2,24,0.37
1003316,apple,electronics,52.0,48895.94,2808093.52,37.86,25,0.39
1005129,apple,electronics,35.0,47373.52,2855467.04,38.5,26,0.4
1002633,apple,electronics,123.0,45182.53,2900649.57,39.11,27,0.42
1005124,apple,electronics,28.0,44491.21,2945140.78,39.71,28,0.43
1005132,apple,electronics,32.0,43655.28,2988796.0599999996,40.3,29,0.45
1005186,samsung,electronics,57.0,43434.3,3032230.3599999994,40.88,30,0.46
1005174,samsung,electronics,61.0,39031.11,3071261.4699999993,41.41,31,0.48
1005121,apple,electronics,39.0,37978.1,3109239.5699999994,41.92,32,0.5
1004227,apple,electronics,37.0,37264.53,3146504.099999999,42.42,33,0.51
1307050,apple,computers,23.0,36406.3,3182910.399999999,42.91,34,0.53
1005118,apple,electronics,36.0,35126.25,3218036.649999999,43.39,35,0.54
1005112,apple,electronics,32.0,31657.89,3249694.539999999,43.81,36,0.56
1005177,samsung,electronics,35.0,30698.72,3280393.2599999993,44.23,37,0.57
1005100,samsung,electronics,212.0,29711.21,3310104.4699999993,44.63,38,0.59
1004750,samsung,electronics,151.0,29557.02,3339661.4899999993,45.03,39,0.6
1003310,apple,electronics,39.0,27835.35,3367496.8399999994,45.4,40,0.62
1005073,samsung,electronics,24.0,27747.75,3395244.5899999994,45.78,41,0.64
1005141,apple,electronics,16.0,26936.41,3422180.9999999995,46.14,42,0.65
1005014,samsung,electronics,51.0,26815.2,3448996.1999999997,46.5,43,0.67
1005160,xiaomi,electronics,127.0,26478.45,3475474.65,46.86,44,0.68
1004785,huawei,electronics,98.0,26245.21,3501719.86,47.21,45,0.7
1801690,samsung,electronics,68.0,26210.58,3527930.44,47.57,46,0.71
1801929,samsung,electronics,46.0,25850.93,3553781.37,47.91,47,0.73
1002532,apple,electronics,42.0,25383.1,3579164.47,48.26,48,0.74
1004226,apple,electronics,25.0,25146.27,3604310.74,48.6,49,0.76
1004741,xiaomi,electronics,131.0,24838.15,3629148.89,48.93,50,0.77
1003312,apple,electronics,32.0,22935.91,3652084.8000000003,49.24,51,0.79
1003304,apple,electronics,39.0,22756.85,3674841.6500000004,49.55,52,0.81
1002629,apple,electronics,61.0,22282.47,3697124.1200000006,49.85,53,0.82
5100855,apple,electronics,36.0,21071.39,3718195.5100000007,50.13,54,0.84
1004768,samsung,electronics,84.0,20830.78,3739026.2900000005,50.41,55,0.85
1004838,oppo,electronics,121.0,20073.98,3759100.2700000005,50.68,56,0.87
1004665,samsung,electronics,24.0,20033.82,3779134.0900000003,50.95,57,0.88
1307051,apple,computers,11.0,19829.01,3798963.1,51.22,58,0.9
4100346,sony,unknown,52.0,19482.34,3818445.44,51.48,59,0.91
1801881,samsung,electronics,38.0,19465.99,3837911.43,51.75,60,0.93
